table_id,title,subj,subj_id
2267,"Neraca Fisik Tutupan Pulau Sumatra (Hektar), 2019-2023",Neraca Sosial Ekonomi,104
2266,"Neraca Fisik Tutupan Lahan Pulau Sulawesi (Hektar), 2019-2023",Neraca Sosial Ekonomi,104
2265,"Neraca Fisik Tutupan Lahan Pulau Kalimantan (Hektar), 2019-2023",Neraca Sosial Ekonomi,104
2264,"Neraca Fisik Tutupan Lahan Pulau Jawa (Hektar), 2019-2023",Neraca Sosial Ekonomi,104
2263,"Neraca Fisik Tutupan Lahan Pulau Bali - Nusa Tenggara (Hektar), 2019-2023",Neraca Sosial Ekonomi,104
2262,"Neraca Fisik Tutupan Lahan Indonesia (Hektar), 2019-2023",Neraca Sosial Ekonomi,104
915,Tingkat Inflasi Harga Konsumen Nasional Tahunan (Y-on-Y) 1 (2022=100),Inflasi,3
914,Tingkat Inflasi Harga Konsumen Nasional Tahun Kalender (Y-to-D) 1 (2022=100),Inflasi,3
913,Tingkat Inflasi Harga Konsumen Nasional Bulanan (M-to-M) 1 (2022=100),Inflasi,3
908,"Inflasi Umum, Inti, Harga Yang Diatur Pemerintah, dan Barang Bergejolak Inflasi Indonesia, 2009-2025",Inflasi,3
2151,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Gorontalo, 2018-2024",Konsumsi dan Pengeluaran,5
2169,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi DKI Jakarta, 2018-2024",Konsumsi dan Pengeluaran,5
2166,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi DI Yogyakarta, 2018-2024",Konsumsi dan Pengeluaran,5
2173,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Bengkulu, 2018-2024",Konsumsi dan Pengeluaran,5
2164,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Banten, 2018-2024",Konsumsi dan Pengeluaran,5
2163,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Bali, 2018-2024",Konsumsi dan Pengeluaran,5
2178,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Sumatera Utara, 2018-2024",Konsumsi dan Pengeluaran,5
2174,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Sumatera Selatan, 2018-2024",Konsumsi dan Pengeluaran,5
2177,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Sumatera Barat, 2018-2024",Konsumsi dan Pengeluaran,5
2155,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Sulawesi Utara, 2018-2024",Konsumsi dan Pengeluaran,5
2152,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Sulawesi Tenggara, 2018-2024",Konsumsi dan Pengeluaran,5
2149,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Maluku, 2018-2024",Konsumsi dan Pengeluaran,5
2148,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Maluku Utara, 2018-2024",Konsumsi dan Pengeluaran,5
2144,"Rata-rata Konsumsi dan Pengeluaran Perkapita Seminggu Menurut Komoditi Makanan dan Golongan Pengeluaran per Kapita Seminggu di Provinsi Aceh, 2018-2024",Konsumsi dan Pengeluaran,5
1613,"Angka Partisipasi Sekolah (APS) Penduduk Umur 7-18 Tahun Menurut Klasifikasi Desa, Jenis Kelamin, dan Kelompok Umur, 2009-2024",Pendidikan,28
1610,"Persentase Penduduk Umur 15 tahun ke Atas Menurut Klasifikasi Desa, Jenis Kelamin, dan Jenjang Pendidikan Tertinggi yang Ditamatkan, 2009-2024",Pendidikan,28
1525,"Indikator Pendidikan, 1994-2024",Pendidikan,28
1609,"Angka Melek Aksara Penduduk Umur 15 Tahun ke Atas Menurut Provinsi, Klasifikasi Desa, dan Jenis Kelamin, 2009-2024",Pendidikan,28
1603,"Persentase Rumah Tangga menurut Provinsi, Jenis Kelamin Kepala Rumah Tangga, dan Banyaknya Anggota Rumah Tangga, 2009-2024",Gender,40
1986,Rata-rata Harian Konsumsi Protein Per Kapita dan Konsumsi Kalori Per Kapita Tahun 1990 - 2024,Konsumsi dan Pengeluaran,5
1617,"Persentase Penduduk yang Mempunyai Keluhan Kesehatan menurut Provinsi, Tipe daerah dan Jenis Kelamin, 2009-2024",Kesehatan,30
962,"Rata-Rata Pengeluaran per Kapita Sebulan di Daerah Perdesaan Menurut Kelompok Barang dan Golongan Pengeluaran, 2013-2024",Konsumsi dan Pengeluaran,5
951,"Rata-Rata Konsumsi Kalori dan Protein per Kapita per Hari Menurut Provinsi, 2007-2024",Konsumsi dan Pengeluaran,5
946,"Distribusi Pembagian Pengeluaran per Kapita dan Indeks Gini, 2010-2024",Konsumsi dan Pengeluaran,5
